,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
1513,4,Hyper equipped,1,1,1,255,E,55,Gas,Yes,900,20.0,No,Apartment ,70,Yes,As new,Unknown,920
1514,6,Semi equipped,2,1,2,258,E,41,Electric,Yes,1750,120.0,No,Penthouse ,120,No,As new,Yes,1870
1515,2,Installed,1,1,1,106,Not specified,21,Gas,Yes,940,60.0,No,Apartment ,58,No,Just renovated,Yes,1000
1517,0,USA hyper equipped,3,2,2,205,Not specified,47,Gas,Yes,1850,150.0,No,Apartment ,112,No,As new,Yes,2000
1518,1,Hyper equipped,1,1,1,319,F,64,Gas,No,620,150.0,No,Studio ,35,Unknown,As new,Yes,770
1519,3,Hyper equipped,1,1,2,247,Not specified,63,Gas,Yes,1250,130.0,No,Penthouse ,110,Yes,As new,Unknown,1380
1520,1,USA hyper equipped,2,1,1,36,A,8,Gas,Yes,1350,100.0,No,Apartment ,100,No,As new,Yes,1450
1522,0,Hyper equipped,2,2,1,295,F,63,Gas,Yes,1175,135.9,No,Apartment ,112,No,As new,Yes,1175
1523,1,Installed,1,1,1,70,B,52,Gas,Yes,755,87.33,No,Apartment ,50,No,As new,Yes,755
1524,1,Hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050,120.0,No,Apartment ,50,No,Just renovated,Yes,1170
1525,0,Installed,1,1,1,206,Not specified,50,Gas,Yes,1050,125.0,No,Apartment ,55,No,As new,Yes,1175
1526,1,USA hyper equipped,1,1,1,128,C,27,Gas,Yes,1500,90.0,No,Apartment ,70,Yes,As new,Yes,1590
1528,1,Hyper equipped,1,1,1,144,C,39,Gas,Yes,1000,30.0,No,Apartment ,85,Unknown,Good,No,1030
1530,4,Hyper equipped,1,1,2,170,D,42,Gas,Yes,1500,200.0,No,Apartment ,70,Yes,As new,Yes,1700
1532,0,USA hyper equipped,3,2,3,267,E,53,Gas,Yes,1990,60.43,No,House ,180,No,Good,No,1990
1533,0,Installed,1,1,1,210,D,42,Gas,Yes,650,45.0,No,Ground floor ,35,No,As new,Unknown,695
1534,3,Hyper equipped,4,2,2,227,Not specified,46,Gas,No,1950,320.0,No,Apartment ,140,No,As new,Unknown,2270
1535,0,Semi equipped,5,1,2,36,A,36,Gas,Yes,1425,50.0,No,House ,150,Unknown,Just renovated,Unknown,1475
1537,2,Semi equipped,2,1,1,277,Not specified,56,Gas,Yes,980,25.0,No,Apartment ,88,No,As new,Unknown,1005
1538,2,Hyper equipped,2,1,1,136,C,25,Gas,No,1350,150.0,No,Apartment ,139,No,As new,Yes,1500
1539,2,Hyper equipped,2,1,1,60,B,16,Gas,Yes,1500,115.0,No,Apartment ,100,No,As new,Unknown,1615
1540,0,Hyper equipped,1,1,1,81,B,20,Gas,Yes,1060,122.6,No,Apartment ,86,No,As new,Unknown,1060
1541,2,Hyper equipped,2,1,1,68,B,18,Gas,Yes,1200,115.0,No,Apartment ,75,No,As new,Unknown,1315
1542,2,Hyper equipped,3,1,2,325,F,65,Gas,Yes,1300,60.0,No,Duplex ,100,No,As new,Unknown,1360
1545,1,Installed,1,1,1,197,Not specified,44,Gas,No,790,120.0,No,Apartment ,60,No,As new,Unknown,910
1547,1,Installed,3,2,2,157,D,33,Fuel oil,Yes,1900,350.0,No,Apartment ,145,No,As new,Yes,2250
1548,0,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850,77.47,No,Ground floor ,50,No,As new,Unknown,850
1550,1,USA semi equipped,1,1,1,226,E,46,Gas,Yes,1200,150.0,No,Apartment ,77,No,Good,Yes,1350
1551,6,Installed,2,1,1,169,D,33,Gas,Yes,875,75.0,No,Apartment ,98,No,To be done up,Yes,950
1552,1,Hyper equipped,3,2,1,186,D,36,Gas,Yes,2000,250.0,No,Apartment ,160,No,Just renovated,Yes,2250
1553,1,Hyper equipped,1,1,1,214,Not specified,49,Gas,Yes,1400,161.93,No,Apartment ,115,No,As new,Unknown,1400
1554,0,USA installed,5,1,3,425,G,90,Gas,Yes,2650,80.47,No,House ,200,Unknown,As new,Unknown,2650
1555,0,USA hyper equipped,3,2,3,148,C,32,Gas,Yes,2250,68.32,No,House ,185,No,As new,No,2250
1556,1,USA installed,1,1,1,252,E,50,Gas,Yes,1700,196.63,No,Apartment ,75,Unknown,Good,No,1700
1559,0,Hyper equipped,1,1,1,234,Not specified,49,Electric,Yes,1150,150.0,No,Apartment ,60,Yes,Good,Yes,1300
1561,1,Hyper equipped,3,2,2,78,B,15,Gas,Yes,1595,215.0,No,Apartment ,113,No,As new,Yes,1810
1562,4,USA hyper equipped,3,2,2,84,B,17,Gas,Yes,1775,230.0,No,Penthouse ,120,No,As new,Yes,2005
1563,5,Hyper equipped,2,2,2,188,D,40,Gas,Yes,1300,250.0,No,Penthouse ,92,No,As new,Yes,1550
1567,2,Hyper equipped,1,1,1,172,D,49,Fuel oil,Yes,1150,133.01,No,Apartment ,100,No,As new,Yes,1150
1568,3,USA hyper equipped,2,1,1,255,E,77,Fuel oil,Yes,1100,200.0,No,Apartment ,105,No,As new,Yes,1300
1569,3,Hyper equipped,2,1,1,113,C,23,Gas,Yes,1250,150.0,No,Apartment ,102,No,As new,Yes,1400
1571,2,Hyper equipped,3,1,1,102,C,20,Gas,Yes,1450,110.89,No,Duplex ,110,No,Just renovated,No,1450
1572,5,Hyper equipped,1,1,1,128,C,39,Gas,Yes,875,175.0,No,Apartment ,85,No,Good,Unknown,1050
1574,0,USA hyper equipped,3,1,2,188,Not specified,14,Gas,Yes,1690,150.0,No,Ground floor ,140,No,As new,Yes,1840
1575,3,Hyper equipped,4,2,2,236,E,46,Gas,Yes,1950,320.0,No,Penthouse ,157,Unknown,As new,Yes,2270
1577,3,USA hyper equipped,1,1,1,272,E,54,Gas,Yes,1600,300.0,No,Apartment ,125,Yes,As new,Yes,1900
1578,4,USA installed,2,1,1,45,A,11,Gas,Yes,1500,225.0,No,Apartment ,90,No,Good,Yes,1725
1581,2,Hyper equipped,3,1,1,365,G,73,Gas,Yes,1350,25.0,No,Duplex ,100,No,As new,Unknown,1375
1582,3,USA hyper equipped,2,1,1,163,D,35,Gas,Yes,1150,80.0,No,Apartment ,110,No,Good,Unknown,1230
1584,2,Hyper equipped,2,1,1,113,C,24,Gas,Yes,1150,114.0,No,Duplex ,70,No,As new,Unknown,1264
1585,1,Hyper equipped,3,1,1,296,F,85,Gas,Yes,950,150.0,No,Triplex ,80,No,To be done up,Unknown,1100
1586,1,Hyper equipped,1,1,1,181,D,39,Gas,Yes,895,60.0,No,Apartment ,60,Yes,As new,Unknown,955
1587,2,Hyper equipped,2,1,1,113,C,24,Gas,Yes,1150,114.0,No,Apartment ,70,No,As new,Unknown,1264
1588,1,Hyper equipped,3,1,1,296,F,85,Gas,Yes,950,150.0,No,Apartment ,80,No,To be done up,Unknown,1100
1589,0,Hyper equipped,3,1,1,422,G,52,Gas,Yes,1600,48.58,No,House ,120,No,As new,Unknown,1600
1590,5,Hyper equipped,1,1,1,365,Not specified,79,Gas,Yes,800,250.0,No,Apartment ,53,No,As new,Yes,1050
1592,1,Hyper equipped,1,1,1,205,D,41,Gas,Yes,725,150.0,No,Apartment ,45,No,As new,Unknown,875
1593,3,Hyper equipped,1,1,1,139,C,28,Gas,Yes,950,210.0,No,Apartment ,80,No,As new,Yes,1160
1594,3,Hyper equipped,1,1,1,139,C,28,Gas,Yes,950,210.0,No,Duplex ,80,No,As new,Yes,1160
1595,3,Not installed,3,1,1,56,B,12,Gas,Yes,1400,140.0,No,Apartment ,108,No,As new,Yes,1540
1596,0,Semi equipped,3,2,2,247,Not specified,63,Gas,Yes,1250,50.0,No,Duplex ,140,Unknown,As new,Unknown,1300
1597,3,Installed,2,1,1,204,D,50,Gas,Yes,900,150.0,No,Apartment ,82,Unknown,Just renovated,Unknown,1050
1598,3,Installed,2,1,1,204,D,79,Gas,Yes,800,150.0,No,Apartment ,82,Unknown,Just renovated,No,950
1599,1,Hyper equipped,3,2,1,132,C,26,Gas,Yes,1390,220.0,No,Apartment ,100,No,As new,Yes,1610
1600,5,Installed,1,1,1,245,E,39,Electric,Yes,1000,100.0,No,Apartment ,45,No,As new,Yes,1100
1602,0,Hyper equipped,2,2,2,275,E,59,Gas,Yes,2050,200.0,No,Apartment ,150,No,Just renovated,Yes,2250
1605,3,Not installed,2,1,1,277,Not specified,56,Gas,Yes,980,40.0,No,Apartment ,82,No,Just renovated,Unknown,1020
1606,2,Installed,1,1,1,263,Not specified,50,Gas,No,900,150.0,No,Apartment ,65,No,As new,Unknown,1050
1607,3,Not installed,1,1,1,128,C,53,Gas,Yes,950,200.0,No,Apartment ,70,No,Good,Yes,1150
1608,4,USA semi equipped,2,1,1,233,Not specified,58,Gas,Yes,1100,90.0,No,Apartment ,102,Unknown,As new,Yes,1190
1610,2,Installed,2,1,2,201,D,40,Gas,Yes,1375,159.04,No,Apartment ,102,Unknown,As new,Unknown,1375
1611,0,Installed,1,1,1,203,Not specified,39,Gas,Yes,1000,50.0,No,House ,60,Yes,As new,Unknown,1050
1613,1,Installed,1,1,1,369,Not specified,69,Gas,No,1700,100.0,No,Apartment ,170,No,As new,Unknown,1800
1614,0,Hyper equipped,2,2,1,341,F,42,Electric,Yes,1500,350.0,No,Apartment ,125,Yes,Good,Yes,1850
1615,0,Hyper equipped,3,2,2,78,Not specified,12,Gas,Yes,1875,109.0,No,Apartment ,141,Yes,As new,Yes,1984
1616,1,Hyper equipped,1,1,1,138,C,53,Gas,Yes,1350,300.0,No,Apartment ,105,Yes,As new,Unknown,1650
1618,1,Installed,2,1,1,299,F,64,Gas,Yes,1300,150.36,No,Apartment ,100,No,Just renovated,Yes,1300
1620,0,Installed,2,1,1,277,F,38,Gas,Yes,1380,159.61,No,Apartment ,120,No,Just renovated,Unknown,1380
1621,1,Hyper equipped,2,1,1,200,D,80,Gas,Yes,1690,55.0,No,Apartment ,130,No,Just renovated,No,1745
1624,3,Hyper equipped,1,1,1,390,Not specified,32,Gas,No,820,75.0,No,Apartment ,60,Unknown,As new,Unknown,895
1625,2,Hyper equipped,2,1,1,263,Not specified,50,Gas,No,900,95.0,No,Apartment ,70,Unknown,As new,No,995
1626,3,Installed,2,1,1,151,C,32,Gas,Yes,1200,100.0,No,Apartment ,85,No,As new,Yes,1300
1627,2,Hyper equipped,1,1,1,327,F,85,Gas,No,990,290.0,No,Apartment ,71,No,As new,Yes,1280
1628,2,Installed,2,1,1,242,E,46,Gas,No,1190,200.0,No,Apartment ,98,No,Good,Yes,1390
1630,1,Hyper equipped,1,1,1,300,F,59,Gas,Yes,750,45.0,No,Apartment ,69,No,As new,Unknown,795
1631,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100,150.0,No,Apartment ,81,No,As new,No,1250
1635,2,Hyper equipped,3,1,1,141,Not specified,27,Gas,No,1670,150.0,No,Duplex ,150,Unknown,As new,No,1820
1637,4,Installed,1,1,1,344,F,90,Gas,Yes,785,125.0,No,Apartment ,55,No,Good,Yes,910
1638,5,USA installed,2,1,1,347,G,91,Gas,Yes,765,125.0,No,Studio ,40,No,As new,Yes,890
1639,1,Installed,1,1,1,211,D,42,Gas,Yes,1400,225.0,No,Apartment ,80,Yes,Good,No,1625
1640,2,Hyper equipped,3,2,2,162,D,34,Gas,Yes,2250,260.24,No,Apartment ,114,No,Good,Unknown,2250
1641,1,Hyper equipped,2,1,2,141,C,49,Gas,Yes,1400,200.0,No,Duplex ,140,Yes,As new,Yes,1600
1643,3,USA hyper equipped,2,1,2,227,Not specified,52,Gas,Yes,1600,75.0,No,Apartment ,113,Unknown,As new,Yes,1675
1644,0,USA installed,4,2,2,369,Not specified,48,Gas,Yes,1700,211.23,No,Town-house ,155,Unknown,As new,No,1700
1645,2,USA installed,2,1,1,44,A,47,Gas,No,1300,150.36,No,Apartment ,90,No,As new,Yes,1300
1646,2,USA semi equipped,1,1,1,270,Not specified,66,Gas,Yes,720,230.0,No,Apartment ,50,Unknown,As new,Yes,950
1647,3,Hyper equipped,2,1,2,193,Not specified,18,Gas,Yes,1825,150.0,No,Apartment ,147,Unknown,As new,Yes,1975
1648,1,USA installed,3,2,2,44,A,11,Gas,Yes,1590,210.0,No,Duplex ,100,No,As new,Yes,1800
1649,1,Installed,2,1,2,390,Not specified,32,Gas,No,820,30.0,No,Apartment ,70,Unknown,As new,Unknown,850
1650,3,Hyper equipped,3,1,1,221,E,63,Gas,Yes,1400,300.0,No,Apartment ,125,No,Good,Yes,1700
1651,3,Hyper equipped,2,1,2,227,Not specified,52,Gas,No,1600,100.0,No,Apartment ,120,Yes,As new,Unknown,1700
1652,1,Hyper equipped,2,2,2,287,F,57,Gas,Yes,1750,120.0,No,Apartment ,151,No,As new,Yes,1870
1653,1,Hyper equipped,2,2,2,287,F,57,Gas,Yes,1750,120.0,No,Apartment ,151,No,As new,Yes,1870
1654,3,Hyper equipped,2,1,1,272,Not specified,58,Gas,No,850,98.31,No,Apartment ,82,Unknown,Just renovated,No,850
1655,4,USA hyper equipped,3,1,2,121,Not specified,32,Gas,Yes,2490,190.0,No,Duplex ,167,Yes,As new,Yes,2680
1657,2,USA installed,1,1,1,270,E,54,Gas,Yes,750,40.0,No,Apartment ,58,Unknown,To be done up,No,790
1658,2,Semi equipped,1,1,1,357,Not specified,85,Gas,Yes,700,80.96,No,Apartment ,55,Unknown,Just renovated,No,700
1659,2,USA hyper equipped,3,2,3,97,C,17,Gas,Yes,2600,150.0,No,Apartment ,149,No,As new,Yes,2750
1660,2,USA installed,1,1,1,277,Not specified,56,Gas,Yes,980,250.0,No,Apartment ,80,Unknown,Good,No,1230
1661,2,Hyper equipped,3,2,2,97,C,17,Gas,Yes,2600,150.0,No,Apartment ,150,Unknown,As new,Yes,2750
1662,1,Installed,3,2,1,116,C,24,Gas,Yes,1550,70.0,No,Duplex ,123,Yes,As new,No,1620
1663,4,Hyper equipped,2,1,1,147,C,29,Gas,Yes,1250,100.0,No,Apartment ,92,Unknown,As new,Yes,1350
1664,4,Hyper equipped,1,1,1,158,D,31,Gas,No,750,120.0,No,Apartment ,90,Unknown,Good,Yes,870
1665,0,Installed,1,1,2,240,E,48,Gas,Yes,900,40.0,No,Ground floor ,102,Unknown,As new,Unknown,940
1666,1,Semi equipped,1,1,1,318,F,68,Gas,Yes,900,104.1,No,Apartment ,60,No,As new,Unknown,900
1668,2,Semi equipped,2,1,1,204,D,38,Gas,Yes,1150,100.0,No,Apartment ,75,No,Good,No,1250
1670,0,USA hyper equipped,2,1,1,211,D,45,Gas,Yes,1350,100.0,No,Apartment ,110,Unknown,As new,Yes,1450
1672,5,Hyper equipped,3,1,1,184,D,40,Gas,Yes,1300,350.0,No,Apartment ,163,No,As new,Yes,1650
1674,1,Hyper equipped,3,2,2,217,Not specified,46,Gas,Yes,1200,25.0,No,Duplex ,130,No,As new,No,1225
1675,2,USA hyper equipped,3,2,2,92,B,18,Gas,Yes,1575,130.0,No,Apartment ,116,No,As new,Yes,1705
1676,1,USA hyper equipped,2,1,2,71,B,17,Gas,Yes,1625,150.0,No,Apartment ,100,No,As new,Yes,1775
1677,4,USA hyper equipped,3,2,3,148,C,32,Gas,Yes,2490,190.0,No,Duplex ,167,Yes,As new,Yes,2680
1678,0,USA hyper equipped,3,2,2,116,C,18,Gas,Yes,2490,190.0,No,Duplex ,167,Yes,As new,Yes,2680
1679,3,USA hyper equipped,4,2,2,200,Not specified,55,Gas,Yes,1800,150.0,No,Duplex ,120,No,As new,Yes,1950
1682,1,Hyper equipped,2,1,1,153,D,32,Gas,Yes,1300,80.0,No,Apartment ,110,No,Good,Yes,1380
1683,3,USA installed,2,1,1,444,G,89,Gas,Yes,1750,133.83,No,Duplex ,95,No,As new,No,1750
1686,2,USA hyper equipped,3,2,3,97,C,17,Gas,Yes,2550,150.0,No,Apartment ,150,No,As new,Yes,2700
1687,1,Installed,3,2,2,50,B,50,Gas,Yes,1590,210.0,No,Duplex ,100,No,As new,Yes,1800
1689,0,Hyper equipped,3,1,1,244,E,52,Gas,Yes,2500,100.0,No,House ,140,No,As new,No,2600
1697,2,Not installed,3,1,1,161,D,42,Gas,Yes,1500,50.0,No,Apartment ,131,No,Just renovated,Unknown,1550
1698,2,Not installed,3,1,1,161,D,42,Gas,Yes,1500,50.0,No,Duplex ,131,No,Just renovated,Unknown,1550
1699,1,Hyper equipped,2,1,2,114,Not specified,22,Gas,Yes,1280,140.0,No,Apartment ,110,No,As new,Yes,1420
1701,4,Hyper equipped,2,2,2,291,F,38,Gas,Yes,1750,250.0,No,Apartment ,131,No,As new,Yes,2000
1702,3,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900,100.0,No,Apartment ,65,Yes,Good,Yes,1000
1703,6,USA hyper equipped,1,1,1,359,G,72,Gas,Yes,1120,180.0,No,Penthouse ,70,No,Just renovated,Yes,1300
1704,0,USA hyper equipped,3,3,2,148,C,32,Gas,Yes,2490,190.0,No,Apartment ,167,Yes,As new,Yes,2680
1705,4,Hyper equipped,1,1,1,255,E,51,Gas,Yes,1150,90.0,No,Duplex ,90,Yes,Good,Yes,1240
1706,3,Installed,1,1,1,234,E,46,Gas,No,1000,100.0,No,Apartment ,59,Yes,As new,Unknown,1100
1707,1,Not installed,1,1,1,365,Not specified,79,Gas,Yes,800,50.0,No,Apartment ,57,No,As new,Unknown,850
1710,1,Semi equipped,2,1,1,255,Not specified,53,Gas,No,1350,150.0,No,Apartment ,125,Unknown,As new,No,1500
1711,2,USA hyper equipped,2,1,1,63,B,13,Gas,Yes,1275,125.0,No,Apartment ,94,No,Just renovated,Yes,1400
1712,0,Hyper equipped,2,1,2,214,E,46,Gas,Yes,2300,125.0,No,Ground floor ,160,Unknown,Just renovated,Yes,2425
1713,4,Hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200,130.0,No,Penthouse ,85,No,As new,Yes,1330
1714,4,Hyper equipped,1,1,1,67,B,19,Gas,Yes,700,100.0,No,Studio ,45,No,As new,Yes,800
1716,2,Hyper equipped,2,1,1,287,F,57,Gas,Yes,1150,150.0,No,Apartment ,90,No,Good,Yes,1300
1717,0,Hyper equipped,3,2,2,159,Not specified,42,Gas,Yes,1500,45.55,No,House ,160,No,As new,No,1500
1718,0,USA hyper equipped,2,1,1,145,C,31,Gas,Yes,1550,30.0,No,Ground floor ,115,No,As new,No,1580
1719,4,USA hyper equipped,3,2,2,89,B,19,Gas,Yes,2490,190.0,No,Duplex ,169,Yes,As new,Yes,2680
1720,4,USA hyper equipped,2,1,1,204,D,52,Gas,Yes,1375,250.0,No,Apartment ,100,No,Just renovated,Yes,1625
1722,0,USA hyper equipped,2,1,1,220,Not specified,47,Gas,Yes,1300,1.0,No,House ,100,No,As new,No,1301
1723,6,Hyper equipped,2,1,1,251,E,53,Gas,Yes,1450,167.71,No,Apartment ,105,Yes,As new,Yes,1450
1725,2,Installed,3,1,2,161,D,34,Gas,Yes,2500,289.16,No,Apartment ,160,Yes,As new,Yes,2500
1727,4,USA hyper equipped,3,1,1,121,Not specified,65,Gas,Yes,2490,190.0,No,Apartment ,168,Yes,As new,Yes,2680
1728,1,Installed,2,1,2,405,G,81,Gas,Yes,1290,50.0,No,Duplex ,120,No,As new,Unknown,1340
1729,0,Installed,3,1,2,365,G,78,Gas,Yes,1650,50.1,No,House ,120,No,Good,No,1650
1731,3,USA hyper equipped,2,1,1,141,C,38,Gas,Yes,1450,200.0,No,Apartment ,93,No,Just renovated,Yes,1650
1733,4,USA hyper equipped,3,1,2,121,Not specified,27,Gas,Yes,2490,190.0,No,Duplex ,167,Yes,Just renovated,Yes,2680
1736,3,Hyper equipped,2,1,1,186,D,46,Fuel oil,Yes,1150,250.0,No,Apartment ,96,No,Good,Yes,1400
1740,3,USA hyper equipped,1,1,1,86,B,16,Gas,Yes,1045,156.0,No,Apartment ,67,No,As new,Yes,1201
1741,1,USA installed,1,1,1,223,E,44,Gas,Yes,875,75.0,No,Apartment ,80,Unknown,Good,Unknown,950
1742,0,USA hyper equipped,2,1,1,161,D,32,Gas,Yes,1990,270.0,No,Ground floor ,120,Yes,Just renovated,No,2260
1743,0,Hyper equipped,2,1,1,164,D,32,Gas,Yes,1300,200.0,No,Apartment ,90,No,As new,Yes,1500
1745,3,USA hyper equipped,1,1,1,149,C,31,Gas,Yes,950,225.0,No,Studio ,40,Yes,As new,Yes,1175
1746,3,Hyper equipped,1,1,1,221,E,65,Gas,Yes,850,250.0,No,Apartment ,95,Yes,Good,Yes,1100
1748,3,Installed,2,2,1,74,Not specified,92,Gas,Yes,1125,100.0,No,Apartment ,80,Unknown,As new,Yes,1225
1751,5,Hyper equipped,1,1,1,233,Not specified,58,Gas,No,1100,100.0,No,Apartment ,45,Yes,As new,Yes,1200
1752,2,Hyper equipped,1,1,1,50,B,44,Gas,Yes,790,65.0,No,Studio ,40,No,As new,Yes,855
1753,4,Installed,2,1,1,234,E,46,Gas,Yes,1200,200.0,No,Apartment ,100,No,As new,Yes,1400
1754,2,Hyper equipped,3,2,3,159,D,34,Gas,Yes,2375,150.0,No,Apartment ,160,Unknown,As new,Yes,2525
1755,0,Installed,2,2,3,159,Not specified,42,Gas,Yes,1500,40.0,No,Duplex ,95,Unknown,As new,No,1540
1757,2,Hyper equipped,2,1,1,259,E,74,Gas,Yes,1250,360.0,No,Apartment ,90,No,As new,Yes,1610
1760,3,Semi equipped,1,1,1,236,Not specified,47,Gas,Yes,620,71.71,No,Apartment ,62,No,As new,No,620
1761,1,Hyper equipped,1,1,1,326,Not specified,72,Gas,Yes,825,95.42,No,Apartment ,65,Unknown,As new,No,825
1763,2,Hyper equipped,1,1,1,182,Not specified,40,Gas,No,925,100.0,No,Apartment ,60,No,As new,Unknown,1025
1764,1,Hyper equipped,3,1,1,151,C,32,Gas,Yes,1450,50.0,No,Apartment ,110,No,Good,Yes,1500
1765,3,Hyper equipped,1,1,1,129,C,25,Gas,Yes,750,75.0,No,Apartment ,47,No,As new,Yes,825
1767,4,Hyper equipped,2,2,1,227,Not specified,55,Gas,Yes,1950,150.0,No,Penthouse ,150,Yes,As new,Yes,2100
1769,0,USA hyper equipped,3,1,3,195,Not specified,40,Gas,No,1750,53.14,No,House ,138,Unknown,Just renovated,No,1750
1770,4,USA hyper equipped,2,1,1,123,C,24,Gas,Yes,1350,250.0,No,Apartment ,75,No,Just renovated,Yes,1600
1771,6,Hyper equipped,1,1,1,214,Not specified,49,Electric,Yes,1400,100.0,No,Apartment ,70,Yes,As new,Yes,1500
1772,5,Hyper equipped,2,1,1,189,D,48,Gas,Yes,1700,196.63,No,Apartment ,110,No,As new,Yes,1700
1773,0,Installed,3,1,2,190,D,40,Gas,Yes,1650,50.1,No,House ,128,No,As new,No,1650
1774,1,USA hyper equipped,3,2,1,223,E,47,Gas,Yes,1950,69.64,No,Triplex ,167,No,As new,No,1950
1775,2,Hyper equipped,2,1,2,224,E,66,Gas,Yes,1800,350.0,No,Apartment ,156,No,Just renovated,Yes,2150
1776,2,Hyper equipped,2,1,2,224,E,66,Gas,Yes,1800,350.0,No,Apartment ,156,No,Just renovated,Yes,2150
1777,5,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,250.0,No,Apartment ,95,No,As new,Yes,1500
1778,5,USA installed,2,2,2,90,B,17,Gas,Yes,1250,125.84,No,Penthouse ,92,No,As new,Yes,1250
1779,1,USA hyper equipped,3,2,1,227,Not specified,55,Gas,Yes,1950,69.64,No,Triplex ,172,No,As new,No,1950
1780,1,USA hyper equipped,3,1,3,113,C,22,Gas,Yes,2050,150.0,No,Apartment ,162,No,As new,Yes,2200
1781,1,Installed,1,1,1,85,B,16,Gas,Yes,895,65.0,No,Apartment ,73,No,Good,Unknown,960
1782,4,Hyper equipped,3,1,2,301,F,78,Fuel oil,Yes,1300,200.0,No,Apartment ,130,No,Good,Yes,1500
1783,3,Hyper equipped,3,3,2,178,D,35,Gas,Yes,2100,250.0,No,Penthouse ,200,No,Good,Yes,2350
1785,1,Installed,3,1,1,255,Not specified,53,Gas,Yes,1350,15.0,No,Apartment ,130,No,Good,No,1365
1786,3,USA hyper equipped,2,1,1,247,E,50,Gas,Yes,1300,100.0,No,Apartment ,78,No,As new,No,1400
1787,4,Installed,2,2,3,220,Not specified,47,Electric,Yes,1300,150.0,No,Penthouse ,95,No,Just renovated,Yes,1450
1788,0,Semi equipped,1,1,1,272,Not specified,89,Electric,Yes,850,40.0,No,Apartment ,65,No,Good,Unknown,890
1789,1,Hyper equipped,1,1,1,294,F,84,Gas,Yes,840,97.16,No,Apartment ,43,No,As new,Unknown,840
1790,2,USA semi equipped,2,1,1,120,C,24,Gas,Yes,1250,250.0,No,Apartment ,91,No,As new,Yes,1500
1791,6,Installed,3,1,1,301,F,78,Gas,Yes,1700,300.0,No,Apartment ,185,No,Good,Unknown,2000
1792,0,Hyper equipped,2,1,1,298,F,62,Gas,Yes,635,165.0,No,Studio ,51,Unknown,As new,Yes,800
1793,1,Hyper equipped,2,1,1,226,Not specified,46,Gas,No,1275,150.0,No,Apartment ,100,Unknown,As new,Yes,1425
1794,3,Hyper equipped,3,3,3,199,D,43,Gas,Yes,2550,150.0,No,Penthouse ,200,Unknown,As new,Yes,2700
1795,3,Hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200,220.0,No,Apartment ,110,No,Just renovated,Yes,1420
1796,6,Installed,2,1,1,285,F,57,Gas,Yes,1150,250.0,No,Apartment ,70,No,Good,Yes,1400
1797,2,Installed,1,1,1,250,E,54,Gas,Yes,750,115.0,No,Studio ,40,Unknown,As new,Yes,865
1798,0,Hyper equipped,2,1,1,283,F,56,Gas,No,1300,46.43,No,Triplex ,125,Yes,As new,No,1300
1799,1,Hyper equipped,2,2,1,209,D,45,Gas,Yes,1700,50.0,No,Duplex ,100,No,Good,No,1750
1800,4,USA hyper equipped,2,1,1,271,E,54,Gas,Yes,1200,80.0,No,Apartment ,70,No,Just renovated,Yes,1280
1801,0,USA semi equipped,2,1,3,32,A,4,Gas,Yes,2000,150.0,No,Apartment ,124,No,As new,Yes,2150
1802,2,Installed,3,2,2,220,E,47,Gas,No,1850,100.0,No,Penthouse ,150,No,As new,Unknown,1950
1803,4,Hyper equipped,2,1,1,203,Not specified,39,Gas,Yes,1000,120.0,No,Apartment ,63,No,Just renovated,Yes,1120
1804,0,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900,120.0,No,Apartment ,58,No,As new,Yes,1020
1806,0,Installed,3,1,1,247,Not specified,63,Gas,Yes,1250,250.0,No,Apartment ,95,No,Good,Yes,1500
1807,2,Installed,1,1,1,192,D,40,Gas,Yes,780,160.0,No,Apartment ,64,No,As new,Yes,940
1810,1,Hyper equipped,3,2,2,294,F,58,Gas,Yes,2250,130.0,No,Apartment ,176,No,As new,Yes,2380
1811,1,Hyper equipped,3,2,2,294,F,58,Gas,Yes,2250,130.0,No,Apartment ,176,No,As new,Yes,2380
1812,3,Installed,2,1,1,159,Not specified,42,Gas,No,1500,50.0,No,Apartment ,100,No,As new,Unknown,1550
1813,1,USA hyper equipped,2,1,1,220,Not specified,47,Gas,Yes,1300,1.0,No,Duplex ,100,No,As new,No,1301
1814,1,Hyper equipped,1,1,1,154,D,73,Gas,Yes,890,10.0,No,Apartment ,57,Unknown,Just renovated,No,900
1815,1,USA installed,2,1,1,206,Not specified,50,Gas,No,1050,50.0,No,Apartment ,80,Unknown,As new,Unknown,1100
1819,4,Hyper equipped,2,1,1,233,Not specified,58,Fuel oil,Yes,1100,170.0,No,Apartment ,120,No,Good,Yes,1270
